Designator,Mid X,Mid Y,Layer,Rotation
C2,24.13, 5.08,Top,270.0
C3,25.91, 5.08,Top,270.0
C10,18.41, 5.08,Top,270.0
C11,20.32, 5.08,Top,270.0
C15,22.35, 5.08,Top,270.0
C16,11.94, 9.14,Top,270.0
C17,27.56, 5.08,Top,90.0
C18,16.51, 5.08,Top,270.0
C19,29.21, 5.08,Top,270.0
D4, 5.54, 7.75,Top,180.0
J1, 1.65,14.99,Top,270.0
L, 8.13,19.05,Top,270.0
LED1,27.94,13.97,Top,90.0
R1,17.78,15.24,Top,180.0
R4, 6.35, 5.08,Top,180.0
R6,25.40,10.16,Top,0.0
R9, 8.26,17.02,Top,180.0
R13,17.78, 2.54,Top,0.0
S1,11.94, 1.78,Top,0.0
U2, 8.89,10.16,Top,270.0
U3, 6.73, 2.29,Top,270.0
C1,25.40,11.43,Bottom,90.0
C4,22.86, 2.54,Bottom,0.0
C5,28.07,21.59,Bottom,0.0
C6,27.94,17.27,Bottom,0.0
C7,27.94,15.49,Bottom,0.0
C8, 6.35, 5.08,Bottom,180.0
C9,28.07,18.92,Bottom,0.0
C12, 6.73, 2.03,Bottom,90.0
C13,27.30, 3.81,Bottom,90.0
C14,28.19,13.59,Bottom,0.0
IC1,20.32, 5.08,Bottom,0.0
R2,17.78, 2.54,Bottom,180.0
R3,12.70, 1.02,Bottom,0.0
R5,12.32, 2.54,Bottom,180.0
R8, 9.65, 2.54,Bottom,270.0
U$4,17.91,14.99,Bottom,270.0
U1,15.24, 5.08,Bottom,0.0
X2,25.40,15.24,Bottom,90.0
