Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C16 C17 C19,0402,
1.0uF,C18,0603,
1K,R6,0603-NO,
2.2K,R9,0603-NO,
4.7k,R1,0603,
10k,R13,0603,
10uF,C2 C11 C15,0805-NO,
10µF,C10,0805-NO,
22uF,C20 C21 C22,0805,
100k,R4,0603-NO,
100k,R7,0603,
10103594-0001LF,J1,AMPHENOL_10103594-0001LF,
B3U-3000P,S1,SW_B3U-3000P,
DWM1000,U$1,DWM1000,
MBR120,D4,SOD-123,
MCP73831T-2ACI/OT,U3,SOT23-5,
RED,L,CHIPLED_0805_NOOUTLINE,
SPX3819-3.3,U2,SOT23-5,
WS2812B3535,LED1,LED3535,
0.1uF,C1 C4,0402,
1uF,C5 C9 C14,0603-NO,
4.7k,R2,0603,
10K\,R8,0603-NO,
10uF,C13,0805-NO,
10µF,C8 C12,0805-NO,
22pF,C6 C7,0603-NO,
32.768,X2,XTAL3215,
100K,R5,0603-NO,
100k,R3,0603-NO,
ATSAMD21G18_QFN,U$4,TQFN48_7MM,
LIS2MDL,IC1,LGA12_2X2MM,
LSM6DS0,U1,LGA14L,
microsd,X4,MICROSD,
