Designator,Mid X,Mid Y,Layer,Rotation
C1,25.40,11.43,Bottom,90.0
C4,22.86, 2.54,Bottom,0.0
C5,28.07,21.59,Bottom,0.0
C6,28.32,17.27,Bottom,0.0
C7,28.32,15.49,Bottom,0.0
C8, 6.35, 5.08,Bottom,180.0
C9,28.07,18.92,Bottom,0.0
C12, 6.73, 2.03,Bottom,90.0
C13,27.30, 3.81,Bottom,90.0
C14,28.19,13.59,Bottom,0.0
IC1,20.32, 5.08,Bottom,0.0
J1, 1.65,14.99,Bottom,270.0
R2,17.78, 2.54,Bottom,180.0
R3,12.70, 0.38,Bottom,0.0
R5,12.19, 2.03,Bottom,180.0
R8, 9.65, 2.54,Bottom,270.0
U$4,17.91,14.99,Bottom,270.0
U1,15.24, 5.08,Bottom,0.0
X2,25.40,15.24,Bottom,90.0
X4,15.24,25.40,Bottom,90.0
