0.096300;0,1398,863,1609,1717,1421;1398,0,1520,1637,2115,2026;858,1524,0,1449,1416,1689;1628,1637,1445,0,506,3678;1717,2162,1435,502,0,3213;1416,2022,1684,3659,3218,0
0.192590;0,1412,839,1623,1717,1412;1416,0,1515,1637,2083,2026;844,1510,0,1463,1449,1703;1618,1651,1463,0,497,3617;1721,2026,1449,502,0,3227;1393,2040,1712,3626,3232,0
0.288870;0,1374,839,1628,1731,1393;1369,0,1496,1665,2125,2031;825,1496,0,1449,1454,1703;1623,1674,1459,0,525,3673;1721,2172,1445,520,0,3246;1416,2036,1689,3650,3237,0
0.385150;0,1416,825,1632,1707,1426;1416,0,1459,1689,2125,2031;825,1463,0,1473,1407,1689;1656,1684,1468,0,497,3603;1712,2036,1407,502,0,3223;1435,2036,1703,3607,3223,0
0.481430;0,1407,825,1651,1731,1430;1412,0,1510,1660,1989,2045;830,1510,0,1449,1421,1707;1613,1660,1449,0,516,3612;1717,2092,1430,516,0,3223;1416,2054,1703,3622,3227,0
0.577720;0,1407,835,1623,1689,1421;1402,0,1487,1684,2097,2064;830,1487,0,1445,1435,1707;1646,1689,1440,0,506,3612;1693,2031,1421,506,0,3223;1426,2101,1703,3612,3223,0
0.673990;0,1393,825,1646,1721,1426;1388,0,1496,1670,1998,2092;830,1491,0,1445,1435,1689;1651,1665,1440,0,502,3640;1754,1979,1459,506,0,3199;1445,2031,1712,3626,3185,0
0.770290;0,1398,839,1642,1754,1440;1398,0,1477,1656,2022,2031;835,1482,0,1454,1435,1721;1599,1646,1468,0,525,3617;1717,2087,1416,525,0,3181;1369,2059,1707,3617,3185,0
0.866600;0,1365,849,1604,1703,1365;1365,0,1501,1618,2069,2050;844,1506,0,1473,1421,1712;1665,1637,1468,0,520,3612;1703,2031,1430,516,0,3204;1360,2054,1726,3631,3204,0
0.962930;0,1412,844,1674,1698,1365;1421,0,1501,1684,2101,2059;844,1491,0,1445,1440,1717;1632,1684,1440,0,520,3631;1707,2172,1440,520,0,3227;1388,2045,1707,3607,3232,0
1.059270;0,1412,839,1628,1726,1388;1393,0,1482,1637,2125,2040;839,1487,0,1445,1459,1717;1646,1637,1449,0,530,3593;1740,2045,1463,530,0,3185;1379,2050,1712,3598,3176,0
1.155590;0,1323,858,1656,1735,1384;1327,0,1506,1679,2017,2059;853,1510,0,1463,1440,1693;1637,1689,1463,0,516,3631;1726,2036,1435,511,0,3148;1416,2083,1693,3640,3152,0
1.251920;0,1388,835,1628,1726,1416;1393,0,1520,1665,2026,2078;830,1520,0,1459,1435,1679;1642,1651,1454,0,511,3612;1721,2026,1416,511,0,3209;1407,2045,1665,3607,3213,0
1.348260;0,1388,844,1660,1712,1402;1388,0,1463,1656,2040,2036;839,1459,0,1463,1407,1679;1660,1665,1468,0,525,3659;1721,2045,1416,525,0,3213;1384,2026,1703,3664,3209,0
1.444580;0,1369,821,1656,1726,1388;1365,0,1468,1660,2097,2026;821,1477,0,1468,1412,1693;1651,1660,1468,0,520,3636;1707,2167,1416,520,0,3176;1421,2059,1689,3626,3176,0
1.540880;0,1416,853,1651,1712,1412;1421,0,1491,1656,2111,2087;858,1487,0,1430,1445,1740;1646,1651,1421,0,525,3584;1740,2017,1449,530,0,3227;1351,2111,1778,3556,3232,0
1.637210;0,1412,835,1660,1735,1351;1407,0,1487,1646,2003,2097;825,1487,0,1477,1449,1740;1670,1651,1491,0,544,3546;1707,2036,1449,539,0,3242;1388,2064,1703,3565,3237,0
1.733520;0,1412,811,1656,1707,1393;1412,0,1487,1674,2097,2059;806,1482,0,1463,1435,1698;1646,1674,1459,0,487,3622;1717,2162,1416,483,0,3227;1412,2050,1693,3640,3232,0
1.829840;0,1402,835,1642,1726,1402;1407,0,1482,1656,2115,2054;853,1491,0,1445,1407,1693;1642,1646,1435,0,473,3645;1717,2050,1426,473,0,3227;1384,2064,1703,3650,3227,0
1.926150;0,1435,844,1642,1717,1393;1435,0,1520,1637,2111,2054;839,1515,0,1416,1435,1698;1637,1642,1426,0,506,3636;1726,2139,1430,516,0,3237;1421,2031,1698,3640,3242,0
2.022470;0,1384,858,1637,1721,1421;1365,0,1487,1656,2111,2022;849,1487,0,1454,1430,1726;1656,1656,1445,0,539,3636;1712,2083,1445,530,0,3303;1430,2036,1759,3631,3298,0
2.118800;0,1379,858,1660,1731,1421;1388,0,1487,1670,2040,2036;872,1491,0,1421,1468,1735;1646,1665,1421,0,497,3640;1735,2003,1477,492,0,3227;1398,2017,1712,3645,3223,0
2.215110;0,1398,849,1646,1726,1398;1402,0,1501,1646,2026,2017;830,1501,0,1459,1459,1703;1628,1656,1468,0,483,3636;1721,2083,1440,483,0,3251;1412,2036,1712,3645,3256,0
2.311430;0,1402,821,1604,1721,1416;1388,0,1501,1674,2078,2031;825,1501,0,1477,1440,1712;1585,1670,1473,0,473,3645;1735,2078,1449,473,0,3242;1440,2031,1693,3645,3246,0
2.407750;0,1374,830,1571,1735,1440;1379,0,1477,1670,2158,2036;821,1473,0,1477,1449,1665;1581,1679,1477,0,511,3650;1712,2153,1449,511,0,3317;1421,2054,1665,3673,3312,0
2.504080;0,1393,816,1581,1717,1421;1398,0,1520,1679,2064,2073;811,1524,0,1487,1449,1670;1585,1670,1501,0,492,3687;1745,2064,1435,497,0,3251;1445,2064,1651,3654,3237,0
2.600390;0,1402,802,1609,1750,1454;1388,0,1477,1670,2064,2040;797,1468,0,1473,1426,1637;1613,1679,1454,0,506,3654;1750,2026,1430,511,0,3204;1445,2017,1637,3654,3213,0
2.696660;0,1365,792,1613,1750,1445;1369,0,1468,1674,2036,2017;802,1473,0,1477,1430,1642;1632,1674,1487,0,516,3626;1750,2069,1440,516,0,3265;1440,2050,1656,3640,3256,0
2.792960;0,1346,816,1646,1750,1440;1337,0,1473,1679,2059,2059;806,1468,0,1463,1468,1651;1637,1689,1454,0,511,3729;1740,2040,1463,511,0,3218;1421,2040,1637,3739,3218,0
2.889250;0,1374,816,1623,1750,1421;1379,0,1459,1707,2008,2045;816,1454,0,1473,1440,1637;1623,1712,1482,0,506,3636;1778,1975,1445,506,0,3237;1445,2064,1632,3589,3242,0
2.985540;0,1355,821,1632,1768,1440;1355,0,1421,1707,1989,2059;835,1416,0,1538,1449,1632;1646,1698,1548,0,506,3607;1750,2008,1449,511,0,3237;1402,2050,1642,3650,3227,0
3.081830;0,1379,825,1651,1750,1402;1379,0,1463,1674,1979,2059;811,1468,0,1468,1449,1637;1646,1670,1463,0,511,3711;1745,2012,1449,506,0,3204;1379,2073,1623,3715,3204,0
3.178130;0,1407,821,1660,1740,1379;1407,0,1445,1665,2092,2073;825,1449,0,1487,1440,1623;1684,1674,1487,0,502,3744;1740,2078,1440,506,0,3209;1398,2078,1609,3729,3199,0
3.274420;0,1393,811,1684,1731,1398;1388,0,1445,1665,2022,2087;806,1435,0,1454,1430,1604;1670,1656,1454,0,520,3617;1750,2012,1435,520,0,3157;1398,2073,1613,3617,3162,0
3.370700;0,1384,816,1642,1764,1407;1384,0,1421,1674,2036,2059;830,1426,0,1468,1454,1613;1632,1684,1477,0,506,3729;1759,2045,1459,506,0,3181;1407,2087,1628,3659,3171,0
3.466990;0,1374,839,1637,1773,1398;1374,0,1426,1670,2036,2101;816,1426,0,1520,1468,1660;1632,1660,1520,0,520,3420;1782,2040,1477,520,0,3143;1369,2101,1670,3485,3157,0
3.563300;0,1360,806,1632,1773,1379;1355,0,1440,1637,2036,2111;811,1445,0,1487,1473,1665;1623,1637,1482,0,534,3711;1773,2036,1468,534,0,3213;1435,2120,1646,3725,3213,0
3.659600;0,1374,802,1609,1764,1435;1379,0,1426,1670,2083,2125;802,1421,0,1449,1449,1628;1613,1674,1449,0,525,3739;1735,2153,1449,520,0,3195;1384,2130,1618,3668,3195,0
3.758550;0,1365,844,1628,1721,1374;1360,0,1440,1660,2153,2125;849,1440,0,1468,1449,1637;1642,1660,1468,0,492,3485;1712,2092,1463,487,0,3213;1388,2115,1651,3528,3195,0
3.854820;0,1365,811,1660,1717,1402;1374,0,1398,1679,2026,2134;802,1393,0,1426,1496,1656;1660,1689,1421,0,483,3636;1745,1989,1487,487,0,3185;1412,2153,1656,3650,3209,0
3.951070;0,1384,821,1651,1773,1402;1379,0,1430,1674,2036,2130;839,1435,0,1468,1463,1674;1656,1670,1468,0,539,3668;1782,2097,1449,539,0,3303;1412,2092,1703,3678,3303,0
0.096350;0,1829,1140,1529,1642,1327;1839,0,1806,2092,2477,1670;1163,1796,0,1820,1642,1820;1482,2134,1792,0,642,2247;1623,2411,1567,647,0,2735;1355,1506,1886,2237,2739,0
0.192690;0,1632,1191,1534,1613,1360;1613,0,1768,2359,2369,1393;1196,1778,0,1576,1421,1825;1604,2383,1548,0,656,2172;1618,2528,1388,647,0,2819;1313,1140,1768,2162,2829,0
0.289060;0,1731,1187,1628,1628,1299;1740,0,1937,2233,2655,1008;1168,1933,0,1487,1379,1825;1623,2270,1515,0,614,2228;1665,2557,1369,614,0,2688;1266,863,1900,2233,2622,0
0.385410;0,1524,1111,1623,1679,1266;1477,0,1768,2369,2402,863;1079,1735,0,1811,1374,1886;1632,2270,1829,0,628,2167;1660,2298,1398,638,0,2317;1304,980,1900,2167,2308,0
0.481780;0,1238,994,1642,1646,1299;1210,0,1707,2012,2209,1079;957,1721,0,1750,1491,1811;1628,2059,1750,0,633,2209;1646,2045,1543,624,0,2420;1285,1243,1646,2205,2453,0
0.578180;0,1196,914,1632,1637,1285;1191,0,1750,2209,1937,1309;900,1735,0,1881,1651,1585;1679,2115,1909,0,591,2205;1609,1881,1731,591,0,2589;1233,1426,1543,2242,2603,0
0.677190;0,1036,896,1665,1599,1205;1032,0,1698,2223,1904,1491;928,1679,0,2064,1947,1421;1623,2252,2078,0,609,2308;1632,1970,2008,605,0,2622;1205,1510,1313,2331,2669,0
0.773510;0,1074,971,1632,1632,1224;1097,0,1721,2106,2022,1557;961,1731,0,2022,2073,1205;1642,1993,2031,0,614,2402;1599,1961,2073,624,0,3143;1271,1717,1069,2416,3115,0
0.869790;0,1219,961,1651,1604,1276;1280,0,1745,1632,1951,1806;961,1754,0,2205,2031,952;1707,1538,2200,0,609,2383;1628,1942,2040,605,0,2392;1224,1876,867,2359,2331,0
